Threads,MeanSeq,StdSeq,MeanPar,StdPar,Speedup,Efficiency
1,0.8003,0.0226,1.3750,0.0301,0.58,0.58
2,0.8008,0.0171,0.7158,0.0190,1.12,0.56
3,0.7525,0.1344,0.5076,0.0958,1.48,0.49
4,0.6844,0.1452,0.3541,0.0739,1.93,0.48
5,0.8419,0.0744,0.4028,0.0360,2.09,0.42
6,0.6779,0.0754,0.3091,0.0438,2.19,0.37
7,0.9635,0.1610,0.4076,0.0605,2.36,0.34
8,0.9280,0.1870,0.3771,0.0711,2.46,0.31
