Threads,MeanSeq,StdSeq,MeanPar,StdPar,Speedup,Efficiency
1,0.8284,0.1174,1.3694,0.1368,0.60,0.60
2,1.2288,0.3530,1.0582,0.2806,1.16,0.58
3,0.8729,0.0456,0.5607,0.0208,1.56,0.52
4,0.7574,0.0089,0.3892,0.0276,1.95,0.49
5,0.8103,0.1102,0.4024,0.0367,2.01,0.40
6,1.1590,0.1226,0.5136,0.0427,2.26,0.38
7,0.7620,0.0839,0.3168,0.0406,2.41,0.34
8,0.7638,0.1256,0.3296,0.0719,2.32,0.29
